"Team","Stadium","Latitude","Longitude"
"Atletic Club","San Mamés",43.264205,-2.949369
"Club Atlético de Madrid","Vicente Calderón",40.401667,-3.720556
"Club Atlético Osasuna","El Sadar",42.796667,-1.636944
"Club Deportivo Leganés","Estadio Municipal de Butarque",40.3404,-3.7607
"Deportivo Alavés","Mendizorroza",42.837111,-2.688044
"FC Barcelona","Camp Nou",41.380833,2.1225
"Granada Club de Fútbol","Nuevo Estadio de Los Cármenes",37.152967,-3.595736
"Málaga FC","La Rosaleda",36.734092,-4.426422
"RC Deportivo de la Coruña","Riazor",43.368667,-8.417372
"RCD Español","RCDE Stadium",41.347861,2.075667
"Real Betis Balompié","Benito Villamarín",37.356403,-5.981611
"Real Club Celta de Vigo","Balaídos",42.211861,-8.740328
"Real Madrid CF","Santiago Bernabéu",40.45306,-3.68835
"Real Sociedad","Anoeta",43.301378,-1.973617
"Real Sporting de Gijón","El Molinón",43.536111,-5.637222
"Sevilla FC","Ramón Sánchez Pizjuán",37.383878,-5.970467
"Sociedad Deportiva Éibar","Ipurua",43.181706,-2.475803
"UD Las Palmas","Gran Canaria",28.1,-15.456667
"Valencia FC","Mestalla",39.474722,-0.358333
"Villareal Club de Fútbol","El Madrigal",39.944167,-0.103611
